EXIOBASE_code,EXIOBASE_industry_code,Year,Deforestation_area_ha
BE,i02,2002,0.0
BE,i02,2003,0.0
BE,i02,2004,0.0
BE,i02,2005,0.0
BE,i02,2006,0.0
BE,i02,2007,0.0
BE,i02,2008,1564.924638562501
BE,i02,2009,998.3901377722923
BE,i02,2010,2497.626337757076
BE,i02,2011,1008.907543716914
BE,i02,2012,879.5266679961359
BE,i02,2013,488.0753478030471
BE,i02,2014,741.271193439143
BE,i02,2015,0.0
BE,i02,2016,0.0
BE,i02,2017,0.0
BE,i02,2018,0.0
BE,i02,2019,0.0
BE,i02,2020,0.0
BE,i02,2021,0.0
BE,i02,2022,0.0
BG,i01.a,2001,2.843777788995804
BG,i01.a,2002,0.1889294450609433
BG,i01.a,2003,6.427188550709954e-18
BG,i01.a,2004,0.181529344504223
BG,i01.a,2005,0.1221333965535819
BG,i01.a,2006,2.89719258177617
BG,i01.a,2007,4.582994680106207
BG,i01.a,2008,4.713428048585975
BG,i01.a,2009,1.573266666692242
BG,i01.a,2010,0.0
BG,i01.a,2011,0.0
BG,i01.a,2012,6.643469274997498
BG,i01.a,2013,3.336004409220498
BG,i01.a,2014,0.0
BG,i01.a,2015,1.260282119632132e-17
BG,i01.a,2016,9.246862393337316e-17
BG,i01.a,2017,5.27881765467929
BG,i01.a,2018,3.472328796836005
BG,i01.a,2019,1.146426265560162
BG,i01.a,2020,0.0
BG,i01.a,2021,1.662102588692018
BG,i01.a,2022,0.9580552084064957
BG,i01.b,2001,0.0
BG,i01.b,2002,3.97594830947797e-16
BG,i01.b,2003,31.55819239190793
BG,i01.b,2004,9.596030425674003
BG,i01.b,2005,0.3613840629388921
BG,i01.b,2006,212.9517174486239
BG,i01.b,2007,37.01826014415042
BG,i01.b,2008,30.530720927251
BG,i01.b,2009,0.0
BG,i01.b,2010,80.08001380464972
BG,i01.b,2011,78.71956316937204
BG,i01.b,2012,9.066512788875264e-15
BG,i01.b,2013,5.493348487004576e-15
BG,i01.b,2014,0.0
BG,i01.b,2015,43.72253258149316
BG,i01.b,2016,8.494547899301574
BG,i01.b,2017,153.3529590172777
BG,i01.b,2018,2.109178993308595e-14
BG,i01.b,2019,37.43330980155136
BG,i01.b,2020,47.13011201903119
BG,i01.b,2021,34.90415436253239
BG,i01.b,2022,46.19955116093546
BG,i01.c,2001,117.80814894729346
BG,i01.c,2002,2.24352823109603e-16
BG,i01.c,2003,8.691948150601609e-16
BG,i01.c,2004,0.0
BG,i01.c,2005,1.1555298142439436
BG,i01.c,2006,61.30407287534648
BG,i01.c,2007,159.69705804388622
BG,i01.c,2008,93.60917558395829
BG,i01.c,2009,207.21161665935827
BG,i01.c,2010,48.566994684870934
BG,i01.c,2011,38.07808140246002
BG,i01.c,2012,96.164021358192
BG,i01.c,2013,4.451140043193305
BG,i01.c,2014,1.727094348843799
BG,i01.c,2015,3.776999746539719
BG,i01.c,2016,224.03149603387868
BG,i01.c,2017,525.2120502761837
BG,i01.c,2018,504.01679231026236
BG,i01.c,2019,142.8546816128445
BG,i01.c,2020,36.54348119944848
BG,i01.c,2021,249.4702795844695
BG,i01.c,2022,149.93366880860341
BG,i01.d,2001,28.11841458295456
BG,i01.d,2002,13.100424117375077
BG,i01.d,2003,0.590780055134575
BG,i01.d,2004,1.5624631873246424
BG,i01.d,2005,0.20480659622858033
BG,i01.d,2006,4.098917042544712
BG,i01.d,2007,10.811755154681402
BG,i01.d,2008,21.553659862444736
BG,i01.d,2009,11.40290779433442
BG,i01.d,2010,1.5777326866171142
BG,i01.d,2011,0.7911059034361048
BG,i01.d,2012,60.35161071378295
BG,i01.d,2013,92.61831407154902
BG,i01.d,2014,231.83199470747027
BG,i01.d,2015,43.54120362475803
BG,i01.d,2016,43.873154289758865
BG,i01.d,2017,61.29048932463231
BG,i01.d,2018,27.183374009516157
BG,i01.d,2019,35.24014651091454
BG,i01.d,2020,62.186653629104384
BG,i01.d,2021,50.77455327391424
BG,i01.d,2022,57.483312504389744
BG,i01.e,2001,329.6824555770887
BG,i01.e,2002,96.77763133141781
BG,i01.e,2003,25.806603856172153
BG,i01.e,2004,15.841555141854109
BG,i01.e,2005,7.615234377755373
BG,i01.e,2006,74.63596764110517
BG,i01.e,2007,255.28431359018845
BG,i01.e,2008,207.99626520300183
BG,i01.e,2009,131.3546902633172
BG,i01.e,2010,68.78786563441476
BG,i01.e,2011,64.93829500530734
BG,i01.e,2012,291.5796997267106
BG,i01.e,2013,115.52990518172851
BG,i01.e,2014,150.92781279798922
BG,i01.e,2015,7.685455908977603
BG,i01.e,2016,1.4054789489746167
BG,i01.e,2017,4.5325258754024205
BG,i01.e,2018,159.91572005765417
BG,i01.e,2019,107.4210070324595
BG,i01.e,2020,210.5563240783673
BG,i01.e,2021,192.0651880266332
BG,i01.e,2022,197.04396380962896
BG,i01.f,2001,0.0
BG,i01.f,2002,6.280747234338772e-19
BG,i01.f,2003,0.2346533497272753
